Year;Mileage;Colour;Transmission;Province;Price
2015;1200;Green;A;WC;249900
2015;4400;Silver;A;GP;236400
2015;1000;White;A;WC;229900
2015;7056;White;M;KZN;224990
2015;1;Other;M;WC;224900
2015;400;White;A;WC;219900
2015;6500;Charcoal;A;KZN;215000
2015;2;White;M;WC;214900
2015;100;Charcoal;M;WC;213900
2015;1000;Charcoal;M;GP;204950
2015;4000;White;M;GP;189900
2014;16600;Silver;M;GP;189900
2014;18000;Silver;M;WC;189900
2014;9800;White;M;FS;184500
2014;11500;Charcoal;M;WC;180000
2014;10000;Silver;M;WC;179900
2013;25000;White;M;EC;174995
2013;35346;Red;M;GP;169995
2014;26000;White;M;WC;169900
2013;37000;White;M;WC;165000
2013;72000;Silver;M;WC;164900
2012;45000;White;M;WC;155000
2013;40000;Blue;M;WC;185000
2013;11230;Red;M;GP;179900
2011;45000;Silver;M;MP;159900
2012;49787;Silver;M;KZN;149990
2012;75787;Blue;M;GP;149900
2011;29000;White;M;WC;149900
2010;38600;Charcoal;M;NW;144990
2012;43474;Green;M;GP;144900
2010;40000;White;M;EC;139000
2009;42000;Silver;M;GP;135000
2010;42000;Charcoal;M;EC;130000
2009;135000;Silver;M;KZN;129990
2009;90000;White;M;WC;129950
2010;133000;White;M;KZN;129900
2009;90000;White;M;WC;129900
2008;99000;Silver;M;WC;109995
